id,name,category,price,stock,seller_id,specs,images
1,SIC Pulse ANC Headphones,Electronics,299.0,50,1,*Active Noise Cancellation *40h Battery *Bluetooth 5.3,uploaded_images/Pulse_Front.jpg|uploaded_images/Pulse_Side.jpg|uploaded_images/Pulse_Detail.jpg
2,SIC Vision 27 4K Monitor,Electronics,349.0,30,1,*4K UHD Resolution *144Hz Refresh *HDR10 Support,uploaded_images/Vision_Front.jpg|uploaded_images/Vision_Side.jpg|uploaded_images/Vision_Detail.jpg
3,SIC SwiftBook Pro 14,Electronics,1299.0,15,1,*M3 Pro Chip *16GB RAM *512GB SSD,uploaded_images/Swift_Front.jpg|uploaded_images/Swift_Side.jpg|uploaded_images/Swift_Detail.jpg
4,SIC SmartWatch Ultra,Electronics,199.0,100,1,*GPS Tracking *ECG Monitor *50m Water Resist,uploaded_images/Watch_Front.jpg|uploaded_images/Watch_Side.jpg|uploaded_images/Watch_Detail.jpg
5,SIC 2TB External SSD,Electronics,150.0,40,1,*USB 3.2 Gen 2 *1050MB/s Speed *Shockproof,uploaded_images/SSD_Front.jpg|uploaded_images/SSD_Side.jpg|uploaded_images/SSD_Detail.jpg
6,SIC Mech RGB Keyboard,Electronics,89.0,60,1,*Blue Switches *Anti-Ghosting *Aluminum Frame,uploaded_images/KB_Front.jpg|uploaded_images/KB_Side.jpg|uploaded_images/KB_Detail.jpg
7,SIC 4K Pro Webcam,Electronics,120.0,25,1,*Auto-Focus *Dual Mics *Privacy Shutter,uploaded_images/Cam_Front.jpg|uploaded_images/Cam_Side.jpg|uploaded_images/Cam_Detail.jpg
8,SIC Wireless Gaming Mouse,Electronics,55.0,80,1,*16000 DPI *6 Buttons *Lightweight,uploaded_images/Mouse_Front.jpg|uploaded_images/Mouse_Side.jpg|uploaded_images/Mouse_Detail.jpg
9,SIC PowerBank 20k,Electronics,45.0,120,1,*PD Fast Charge *LED Display *Dual Port,uploaded_images/Bank_Front.jpg|uploaded_images/Bank_Side.jpg|uploaded_images/Bank_Detail.jpg
10,SIC 2.1 SoundBar,Electronics,150.0,20,1,*Wireless Subwoofer *Dolby Digital *Bluetooth,uploaded_images/Sound_Front.jpg|uploaded_images/Sound_Side.jpg|uploaded_images/Sound_Detail.jpg
11,SIC Organic Arabica,Grocery,18.0,200,1,*1kg Whole Bean *Medium Roast *Fair Trade,uploaded_images/Coffee_Front.jpg|uploaded_images/Coffee_Side.jpg|uploaded_images/Coffee_Detail.jpg
12,SIC Olive Oil EV,Grocery,25.0,150,1,*500ml Cold Pressed *Italy Origin *Glass,uploaded_images/Oil_Front.jpg|uploaded_images/Oil_Side.jpg|uploaded_images/Oil_Detail.jpg
13,SIC Pink Salt 2lb,Grocery,12.0,300,1,*Himalayan *Fine Grain *Mineral Rich,uploaded_images/Salt_Front.jpg|uploaded_images/Salt_Side.jpg|uploaded_images/Salt_Detail.jpg
14,SIC Basmati Rice 5kg,Grocery,22.0,100,1,*Long Grain *Aged 2 Years *Aromatic,uploaded_images/Rice_Front.jpg|uploaded_images/Rice_Side.jpg|uploaded_images/Rice_Detail.jpg
15,SIC Manuka Honey,Grocery,45.0,80,1,*MGO 400+ *UMF Certified *250g Jar,uploaded_images/Honey_Front.jpg|uploaded_images/Honey_Side.jpg|uploaded_images/Honey_Detail.jpg
16,SIC Almond Milk 6pk,Grocery,35.0,50,1,*Unsweetened *Vitamin D *Eco-Pack,uploaded_images/Milk_Front.jpg|uploaded_images/Milk_Side.jpg|uploaded_images/Milk_Detail.jpg
17,SIC Quinoa 1kg,Grocery,15.0,120,1,*Organic *Triple Washed *Gluten-Free,uploaded_images/Quinoa_Front.jpg|uploaded_images/Quinoa_Side.jpg|uploaded_images/Quinoa_Detail.jpg
18,SIC Dark Choc 70%,Grocery,5.0,500,1,*100g Bar *Sea Salt *Single Origin,uploaded_images/Choc_Front.jpg|uploaded_images/Choc_Side.jpg|uploaded_images/Choc_Detail.jpg
19,SIC Green Tea 50ct,Grocery,10.0,200,1,*Loose Leaf Bags *Anti-Oxidant *Organic,uploaded_images/Tea_Front.jpg|uploaded_images/Tea_Side.jpg|uploaded_images/Tea_Detail.jpg
20,SIC Protein Granola,Grocery,9.0,180,1,*500g Pack *Oats & Honey *No Added Sugar,uploaded_images/Granola_Front.jpg|uploaded_images/Granola_Side.jpg|uploaded_images/Granola_Detail.jpg
21,SIC Men Oxford Shirt,Clothing,40.0,100,1,*100% Cotton *Non-Iron *Slim Fit,uploaded_images/MShirt_Front.jpg|uploaded_images/MShirt_Side.jpg|uploaded_images/MShirt_Detail.jpg
22,SIC Women Silk Gown,Clothing,120.0,40,1,*Mulberry Silk *A-Line *Evening Red,uploaded_images/WGown_Front.jpg|uploaded_images/WGown_Side.jpg|uploaded_images/WGown_Detail.jpg
23,SIC Performance Joggers,Clothing,45.0,150,1,*Quick-Dry *Zip Pockets *Elastic Waist,uploaded_images/Joggers_Front.jpg|uploaded_images/Joggers_Side.jpg|uploaded_images/Joggers_Detail.jpg
24,SIC Women Hoodie,Clothing,55.0,120,1,*Oversized *Fleece Interior *Blue,uploaded_images/Hoodie_Front.jpg|uploaded_images/Hoodie_Side.jpg|uploaded_images/Hoodie_Detail.jpg
25,SIC Denim Jacket,Clothing,75.0,60,1,*Unisex *Heavyweight Denim *Vintage Wash,uploaded_images/Denim_Front.jpg|uploaded_images/Denim_Side.jpg|uploaded_images/Denim_Detail.jpg
26,SIC Women Yoga Set,Clothing,60.0,90,1,*Seamless *High-Waist *2-Piece Set,uploaded_images/Yoga_Front.jpg|uploaded_images/Yoga_Side.jpg|uploaded_images/Yoga_Detail.jpg
27,SIC Slim Fit Blazer,Clothing,85.0,30,1,*Wool Blend *Navy Blue *Formal Cut,uploaded_images/Blazer_Front.jpg|uploaded_images/Blazer_Side.jpg|uploaded_images/Blazer_Detail.jpg
28,SIC Floral Dress,Clothing,50.0,70,1,*Light Viscose *Summer Print *Knee Length,uploaded_images/Dress_Front.jpg|uploaded_images/Dress_Side.jpg|uploaded_images/Dress_Detail.jpg
29,SIC Chino Shorts,Clothing,35.0,110,1,*Stretch Cotton *Beige *Classic 9 inch,uploaded_images/Shorts_Front.jpg|uploaded_images/Shorts_Side.jpg|uploaded_images/Shorts_Detail.jpg
30,SIC Trench Coat,Clothing,110.0,25,1,*Waterproof *Belted *Double Breasted,uploaded_images/Trench_Front.jpg|uploaded_images/Trench_Side.jpg|uploaded_images/Trench_Detail.jpg
31,SIC Tungsten Band,Jewelry,65.0,200,1,*8mm Width *Scratch Resist *Matte Black,uploaded_images/Ring_Front.jpg|uploaded_images/Ring_Side.jpg|uploaded_images/Ring_Detail.jpg
32,SIC 18K Gold Pendant,Jewelry,250.0,50,1,*Diamond Accented *18 inch Chain *Yellow Gold,uploaded_images/Pendant_Front.jpg|uploaded_images/Pendant_Side.jpg|uploaded_images/Pendant_Detail.jpg
33,SIC Leather Bracelet,Jewelry,35.0,150,1,*Genuine Cowhide *Braided *Steel Clasp,uploaded_images/LBrace_Front.jpg|uploaded_images/LBrace_Side.jpg|uploaded_images/LBrace_Detail.jpg
34,SIC Silver Hoops,Jewelry,50.0,120,1,*925 Sterling *Hypoallergenic *30mm,uploaded_images/Hoops_Front.jpg|uploaded_images/Hoops_Side.jpg|uploaded_images/Hoops_Detail.jpg
35,SIC Chrono Watch,Jewelry,450.0,20,1,*Sapphire Glass *Leather Strap *10ATM,uploaded_images/LWatch_Front.jpg|uploaded_images/LWatch_Side.jpg|uploaded_images/LWatch_Detail.jpg
36,SIC Pearl Necklace,Jewelry,180.0,40,1,*Freshwater Pearls *Silver Clasp *White,uploaded_images/Pearl_Front.jpg|uploaded_images/Pearl_Side.jpg|uploaded_images/Pearl_Detail.jpg
